ONE_4_max, Result
1, 1.0
2, 0.875
3, 0.6875
4, 0.5
5, 0.34375
6, 0.22656249999999997
7, 0.14453124999999997
8, 0.08984374999999997
9, 0.05468749999999998
10, 0.032714843749999986
11, 0.01928710937499999
12, 0.011230468749999993
13, 0.006469726562499996
14, 0.0036926269531249974
15, 0.0020904541015624983
16, 0.001174926757812499
17, 6.561279296874993E-4
18, 3.643035888671871E-4
19, 2.0122528076171853E-4
20, 1.1062622070312488E-4
